lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kabupaten Bogor;62;43;2;1;1300;Ada;460000000
Kabupaten Bogor;60;40;2;1;2200;Ada;880000000
Kabupaten Bogor;196;170;3;3;2200;Ada;2100000000
Kabupaten Bogor;72;47;2;1;2200;Ada;760000000
Kabupaten Bogor;120;125;3;3;2200;Ada;1946600000
Kabupaten Bogor;167;300;4;3;5500;Ada;3200000000
Kabupaten Bogor;72;33;2;1;2200;Ada;574600000
Kabupaten Bogor;60;70;2;2;2200;Ada;916000000
Kabupaten Bogor;60;40;1;1;2200;Ada;810000000
Kabupaten Bogor;200;202;5;5;4400;Ada;3128000000
Kabupaten Bogor;84;75;2;1;2200;Ada;810000000
Kabupaten Bogor;162;164;5;5;3500;Ada;2536000000
Kabupaten Bogor;72;65;3;2;1300;Ada;750000000
Kabupaten Bogor;200;260;4;4;4400;Ada;2975000000
Kota Bogor;72;36;2;1;1300;Ada;350000000
Kabupaten Bogor;60;39;2;1;2200;Ada;670000000
Kabupaten Bogor;112;169;5;5;3500;Ada;2128000000
